date	close
10-Jan-12	48.3
03-Jan-12	42.38
27-Dec-11	38.34
20-Dec-11	39.72
13-Dec-11	36.32
06-Dec-11	36.54
29-Nov-11	39.07
22-Nov-11	36.22
15-Nov-11	35.54
08-Nov-11	35.31
01-Nov-11	33.81
25-Oct-11	29.47
18-Oct-11	28.86
11-Oct-11	28.58
04-Oct-11	36.63
27-Sep-11	29.91
20-Sep-11	29.91
13-Sep-11	35.33
06-Sep-11	27.38
30-Aug-11	25.44
23-Aug-11	24.2
16-Aug-11	23.22
09-Aug-11	21.94
02-Aug-11	22.64
26-Jul-11	20.43
19-Jul-11	19.72
12-Jul-11	19.97
05-Jul-11	24.48
28-Jun-11	22.88
21-Jun-11	20.12
14-Jun-11	21.01
07-Jun-11	20.84
31-May-11	20.66
24-May-11	22.6
17-May-11	28.07
10-May-11	33.38
03-May-11	33.08
26-Apr-11	31.13
19-Apr-11	35.45
12-Apr-11	37.79
05-Apr-11	37.51
29-Mar-11	37.43
22-Mar-11	37.27
15-Mar-11	33.96
08-Mar-11	35.9
01-Mar-11	35.67
22-Feb-11	37.75
15-Feb-11	37.75
08-Feb-11	37.75
01-Feb-11	38.99
25-Jan-11	38.99
18-Jan-11	38.99
11-Jan-11	38.99
04-Jan-11	39.52
28-Dec-10	39.65
21-Dec-10	38.95
14-Dec-10	36.97
07-Dec-10	33.39
30-Nov-10	33.71
23-Nov-10	32.58
16-Nov-10	37.48
09-Nov-10	39.04
02-Nov-10	35.34
26-Oct-10	34.55
19-Oct-10	34.33
12-Oct-10	33.47
05-Oct-10	34.95
28-Sep-10	34.94
21-Sep-10	26.42
14-Sep-10	18.39
07-Sep-10	15.8
31-Aug-10	16.01
24-Aug-10	11.86
17-Aug-10	12.3
10-Aug-10	10.01
03-Aug-10	9.44
27-Jul-10	10.24
20-Jul-10	10.83
13-Jul-10	10.5
06-Jul-10	10.5
29-Jun-10	12.25
22-Jun-10	11.94
15-Jun-10	10.89
08-Jun-10	11.62
01-Jun-10	11.11
25-May-10	11.14
18-May-10	13.74
11-May-10	17.05
04-May-10	19.2
27-Apr-10	19.72
20-Apr-10	19.72
13-Apr-10	19.73
06-Apr-10	18.67
30-Mar-10	18.67
23-Mar-10	18.52
16-Mar-10	18.59
09-Mar-10	18.46
02-Mar-10	19.01
23-Feb-10	19.01
16-Feb-10	20.73
09-Feb-10	15.66
02-Feb-10	15.66
26-Jan-10	13.58
19-Jan-10	14.14
12-Jan-10	13.96
05-Jan-10	10.28
29-Dec-09	10.35
22-Dec-09	9.21
15-Dec-09	9.21
08-Dec-09	8.78
01-Dec-09	6.77
24-Nov-09	6.74
17-Nov-09	5.14
10-Nov-09	5.14
03-Nov-09	5.07
27-Oct-09	5.07
20-Oct-09	8.91
13-Oct-09	11.17
06-Oct-09	11.65
29-Sep-09	12.11
22-Sep-09	11.43
